iter	Passed	Remaining
385	446	710
386	447	708
387	448	707
388	449	705
389	450	704
390	454	707
391	455	706
392	456	705
393	457	704
394	459	703
395	460	701
396	461	700
397	462	699
398	463	697
399	464	696
400	465	695
401	466	694
402	468	693
403	469	692
404	470	691
405	471	689
406	472	688
407	473	687
408	474	685
409	475	684
410	476	683
411	477	681
412	478	680
413	482	682
414	483	682
415	485	681
416	486	679
417	487	678
418	488	677
419	489	675
420	490	674
421	491	673
422	492	671
423	493	671
424	495	670
425	497	670
426	498	668
427	499	667
428	500	665
429	501	664
430	502	663
431	503	661
432	504	660
433	506	659
434	509	661
435	510	660
436	511	658
437	512	657
438	513	656
439	515	655
440	516	654
441	517	652
442	517	651
443	518	649
444	519	647
445	520	646
446	522	645
447	523	644
448	524	643
449	525	642
450	526	641
451	527	639
452	528	638
453	529	636
454	530	635
455	531	634
456	532	632
457	533	631
458	535	630
459	536	629
460	537	628
461	538	626
462	539	625
463	539	623
464	540	622
465	541	620
466	542	619
467	543	617
468	543	615
469	544	614
470	545	612
471	546	611
472	548	611
473	549	609
474	550	608
475	551	607
476	552	605
477	553	604
478	554	602
479	554	601
480	555	599
481	556	598
482	557	597
483	558	595
484	560	594
485	561	593
486	562	592
487	563	591
488	564	589
489	565	588
490	565	586
491	566	585
492	567	583
493	568	582
494	569	580
495	570	579
496	571	578
497	572	576
498	574	576
499	575	575
500	576	573
501	577	572
502	577	571
503	578	569
504	579	568
505	580	567
506	581	565
507	582	564
508	583	563
509	584	561
510	585	560
511	587	560
512	588	559
513	589	557
514	590	556
515	591	555
516	592	553
517	594	553
518	595	551
519	596	550
520	597	549
521	598	548
522	600	547
523	602	547
524	603	545
525	604	544
526	605	543
527	606	542
528	607	540
529	608	539
530	609	538
531	610	536
532	611	535
533	612	534
534	614	533
535	616	533
536	617	532
537	618	530
538	619	529
539	620	528
540	621	527
541	622	525
542	623	524
543	624	523
544	625	522
545	627	521
546	628	520
547	629	519
548	630	517
549	630	516
550	631	514
551	632	513
552	633	511
553	634	510
554	635	509
555	636	508
556	637	506
557	638	505
558	638	504
559	641	503
560	642	502
561	644	502
562	645	501
563	646	499
564	647	498
565	648	497
566	649	496
567	650	494
568	651	493
569	652	492
570	654	491
571	655	490
572	656	489
573	657	487
574	658	486
575	659	485
576	661	484
577	662	483
578	663	482
579	664	481
580	666	480
581	667	479
582	668	478
583	669	477
584	670	475
585	671	474
586	672	473
587	673	472
588	675	471
589	675	469
590	676	468
591	678	467
592	679	466
593	681	465
594	682	464
595	683	463
596	683	461
597	684	460
598	685	459
599	686	457
600	687	456
601	688	455
602	689	453
603	690	452
604	690	451
605	692	450
606	694	449
607	695	448
608	696	446
609	696	445
610	697	444
611	698	442
612	699	441
613	700	440
614	701	439
615	702	437
616	703	436
617	704	435
618	705	434
619	707	433
620	707	432
621	708	430
622	710	429
623	711	428
624	712	427
625	713	426
626	713	424
627	714	423
628	715	422
629	716	421
630	718	419
631	720	419
632	721	418
633	723	417
634	724	416
635	725	415
636	726	413
637	727	412
638	728	411
639	729	410
640	730	409
641	731	407
642	733	407
643	734	406
644	735	404
645	736	403
646	737	402
647	738	401
648	739	399
649	740	398
650	741	397
651	741	396
652	742	394
653	743	393
654	744	392
655	745	391
656	747	390
657	748	389
658	749	387
659	750	386
660	751	385
661	752	384
662	753	382
663	753	381
664	754	380
665	755	378
666	756	377
667	757	376
668	759	375
669	760	374
670	760	373
671	761	371
672	762	370
673	763	369
674	764	368
675	765	366
676	766	365
677	767	364
678	768	363
679	769	362
680	770	360
681	771	359
682	772	358
683	773	357
684	774	356
685	775	354
686	776	353
687	777	352
688	778	351
689	779	350
690	780	349
691	781	347
692	782	346
693	783	345
694	786	344
695	787	343
696	788	342
697	788	341
698	789	340
699	790	338
700	791	337
701	792	336
702	793	335
703	794	333
704	795	332
705	796	331
706	797	330
707	799	329
708	800	328
709	801	327
710	802	326
711	803	324
712	804	323
713	806	323
714	808	322
715	809	321
716	810	320
717	812	319
718	813	317
719	814	316
720	815	315
721	815	314
722	816	312
723	817	311
724	818	310
725	819	309
726	820	308
727	821	306
728	822	305
729	823	304
730	824	303
731	825	302
732	826	301
733	828	300
734	829	298
735	829	297
736	830	296
737	831	295
738	832	294
739	833	292
740	834	291
741	835	290
742	837	289
743	839	288
744	840	287
745	840	286
746	841	285
747	842	283
748	843	282
749	844	281
750	845	280
751	846	279
752	847	277
753	848	276
754	849	275
755	850	274
756	852	273
757	853	272
758	854	271
759	855	270
760	856	269
761	857	267
762	858	266
763	859	265
764	860	264
765	861	263
766	861	261
767	862	260
768	864	259
769	865	258
770	866	257
771	867	256
772	868	255
773	869	253
774	869	252
775	870	251
776	871	250
777	872	248
778	873	247
779	874	246
780	874	245
781	875	244
782	877	243
783	878	242
784	879	240
785	880	239
786	881	238
787	882	237
788	883	236
789	884	234
790	885	233
791	885	232
792	886	231
793	887	230
794	888	229
795	890	228
796	891	227
797	892	225
798	893	224
799	894	223
800	895	222
801	896	221
802	897	220
803	898	218
804	899	217
805	900	216
806	901	215
807	901	214
808	903	213
809	904	212
810	905	210
811	906	209
812	907	208
813	908	207
814	909	206
815	910	205
816	911	204
817	912	203
818	914	202
819	916	201
820	917	200
821	918	198
822	919	197
823	920	196
824	921	195
825	921	194
826	922	193
827	923	191
828	924	190
829	925	189
830	926	188
831	927	187
832	928	186
833	929	185
834	930	183
835	931	182
836	932	181
837	933	180
838	934	179
839	934	178
840	935	176
841	936	175
842	937	174
843	938	173
844	939	172
845	940	171
846	942	170
847	943	169
848	944	167
849	944	166
850	945	165
851	946	164
852	947	163
853	948	162
854	949	160
855	950	159
856	950	158
857	951	157
858	952	156
859	954	155
860	955	154
861	956	153
862	957	152
863	958	150
864	959	149
865	960	148
866	961	147
867	962	146
868	963	145
869	963	144
870	965	143
871	967	141
872	968	140
873	969	139
874	970	138
875	971	137
876	972	136
877	973	135
878	974	134
879	975	133
880	976	131
881	977	130
882	978	129
883	979	128
884	980	127
885	982	126
886	983	125
887	984	124
888	985	123
889	986	121
890	987	120
891	988	119
892	989	118
893	990	117
894	991	116
895	992	115
896	994	114
897	995	113
898	996	111
899	997	110
900	998	109
901	999	108
902	1000	107
903	1001	106
904	1002	105
905	1003	104
906	1004	102
907	1005	101
908	1006	100
909	1008	99
910	1009	98
911	1010	97
912	1011	96
913	1012	95
914	1013	94
915	1013	92
916	1014	91
917	1015	90
918	1016	89
919	1017	88
920	1018	87
921	1019	86
922	1021	85
923	1022	84
924	1023	82
925	1024	81
926	1025	80
927	1025	79
928	1026	78
929	1027	77
930	1028	76
931	1029	75
932	1030	73
933	1030	72
934	1031	71
935	1032	70
936	1034	69
937	1035	68
938	1037	67
939	1037	66
940	1038	65
941	1039	64
942	1040	62
943	1041	61
944	1042	60
945	1043	59
946	1044	58
947	1045	57
948	1045	56
949	1047	55
950	1048	54
951	1049	52
952	1050	51
953	1051	50
954	1052	49
955	1053	48
956	1054	47
957	1055	46
958	1056	45
959	1057	44
960	1057	42
961	1058	41
962	1059	40
963	1060	39
964	1062	38
965	1063	37
966	1064	36
967	1065	35
968	1066	34
969	1067	33
970	1068	31
971	1069	30
972	1070	29
973	1071	28
974	1072	27
975	1073	26
976	1075	25
977	1076	24
978	1077	23
979	1078	22
980	1078	20
981	1079	19
982	1080	18
983	1081	17
984	1082	16
985	1083	15
986	1084	14
987	1085	13
988	1086	12
989	1087	10
990	1089	9
991	1090	8
992	1090	7
993	1091	6
994	1092	5
995	1093	4
996	1094	3
997	1095	2
998	1096	1
999	1097	0
