iter	RMSE
267	0.6804333145
268	0.6802970335
269	0.6802424823
270	0.6801935954
271	0.6801127087
272	0.6800208272
273	0.6799375408
274	0.6798326005
275	0.6797328313
276	0.6797040583
277	0.6796211862
278	0.6795689813
279	0.6794757862
280	0.6793951448
281	0.6793290349
282	0.6792612962
283	0.6791870325
284	0.6791163899
285	0.6790308802
286	0.6789729136
287	0.6788686921
288	0.67879821
289	0.6787575697
290	0.6786716085
291	0.6786126467
292	0.6785671494
293	0.6784951948
294	0.6784373865
295	0.6783808749
296	0.6783213866
297	0.6782625507
298	0.6782198537
299	0.6781615336
300	0.6781170719
301	0.6780680553
302	0.6780217535
303	0.6779676907
304	0.6779310514
305	0.6778726126
306	0.6778512315
307	0.6777821133
308	0.6777084773
309	0.6776746727
310	0.6776278188
311	0.67758168
312	0.6775075672
313	0.6774627358
314	0.677423642
315	0.677369795
316	0.6773326764
317	0.6772911638
318	0.6772453782
319	0.6772100761
320	0.6771818758
321	0.6771615459
322	0.6771241576
323	0.6770886697
324	0.677051757
325	0.6769891331
326	0.6769686647
327	0.676954819
328	0.6769308788
329	0.6768881762
330	0.676855743
331	0.6768340856
332	0.6768199005
333	0.6767842039
334	0.6767538627
335	0.6767330331
336	0.6766797702
337	0.6766382212
338	0.6766008119
339	0.6765700657
340	0.6765193479
341	0.6764970639
342	0.6764763821
343	0.6764511047
344	0.6764143002
345	0.6763925814
346	0.6763670491
347	0.6763448916
348	0.6763286266
349	0.6762983899
350	0.6762537877
351	0.6762250445
352	0.6761886187
353	0.6761490994
354	0.6761244455
355	0.6760898558
356	0.6760570359
357	0.6760340173
358	0.6760141773
359	0.6760043991
360	0.6759863136
361	0.6759694642
362	0.6759478224
363	0.67593232
364	0.6758976278
365	0.6758633203
366	0.6758348366
367	0.6758177591
368	0.6757844415
369	0.6757525232
370	0.6757317386
371	0.6757137472
372	0.6756933621
373	0.6756812925
374	0.6756713657
375	0.6756557572
376	0.6756438495
377	0.6756332747
378	0.6756185647
379	0.6756003964
380	0.675578233
381	0.6755513997
382	0.6755426884
383	0.6755300134
384	0.6755075245
385	0.6754898499
386	0.6754799556
387	0.6754651506
388	0.6754530521
389	0.6754393056
390	0.6754151
391	0.6753899262
392	0.6753796061
393	0.6753640136
394	0.6753510384
395	0.6753373596
396	0.6753249401
397	0.6753164842
398	0.6753007756
399	0.6752853568
400	0.6752738519
401	0.6752576262
402	0.6752436636
403	0.675226793
404	0.675217565
405	0.6751990609
406	0.6751840187
407	0.6751764252
408	0.6751677868
409	0.6751473198
410	0.6751376806
411	0.6751224681
412	0.675110929
413	0.6750994755
414	0.6750876527
415	0.6750812348
416	0.6750670843
417	0.6750520726
418	0.6750435636
419	0.675039061
420	0.6750260884
421	0.675013787
422	0.6750068851
423	0.674999875
424	0.67499095
425	0.6749822499
426	0.6749727463
427	0.6749560044
428	0.6749454636
429	0.6749405561
430	0.6749329778
431	0.6749256497
432	0.6749183762
433	0.6749103228
434	0.6748955344
435	0.6748852249
436	0.6748778665
437	0.6748732824
438	0.6748635701
439	0.6748568964
440	0.674844442
441	0.6748375195
442	0.6748245445
443	0.6748198823
444	0.6748125255
445	0.6748109254
446	0.6747966075
447	0.6747917361
448	0.6747866288
449	0.6747782255
450	0.6747742252
451	0.6747695118
452	0.6747615588
453	0.6747561274
454	0.6747517769
455	0.6747395238
456	0.6747291872
457	0.6747248417
458	0.6747199728
459	0.6747160974
460	0.6747109292
461	0.6747083256
462	0.6747032797
463	0.6746926355
464	0.6746850328
465	0.6746762651
466	0.6746653117
467	0.6746612052
468	0.6746537843
469	0.674651055
470	0.6746480973
471	0.674642125
472	0.6746337992
473	0.6746271946
474	0.6746254342
475	0.6746113087
476	0.674602728
477	0.6745928385
478	0.6745878882
479	0.6745806311
480	0.6745749674
481	0.6745704499
482	0.6745663683
483	0.6745598722
484	0.6745542118
485	0.6745514682
486	0.6745495707
487	0.6745446935
488	0.6745400246
489	0.6745306223
490	0.6745273875
491	0.6745235798
492	0.6745201516
493	0.674516155
494	0.674514477
495	0.6745084
496	0.6745064766
497	0.6744949386
498	0.6744936449
499	0.6744889563
500	0.6744775855
501	0.674471105
502	0.6744684156
503	0.6744644548
504	0.6744612815
505	0.6744597476
506	0.6744548627
507	0.6744472563
508	0.6744436787
509	0.6744354938
510	0.6744329354
511	0.674425517
512	0.6744232167
513	0.6744230774
514	0.6744209949
515	0.6744187485
516	0.6744164287
517	0.6744152495
518	0.6744081484
519	0.6744050622
520	0.6744031718
521	0.6743994003
522	0.6743967327
523	0.6743932091
524	0.6743916108
525	0.6743897051
526	0.6743859643
527	0.6743827897
528	0.6743806728
529	0.6743715559
530	0.6743692389
531	0.6743652667
532	0.6743600583
533	0.6743591679
534	0.6743554741
535	0.6743527424
536	0.6743504064
537	0.6743491538
538	0.6743471869
539	0.6743459009
540	0.6743371321
541	0.6743344503
542	0.6743332929
543	0.6743307658
544	0.6743277505
545	0.6743251257
546	0.6743207136
547	0.674319574
548	0.6743178026
549	0.6743151239
550	0.6743104464
551	0.6743088313
552	0.6743066376
553	0.6743053654
554	0.6743028192
555	0.6743000677
556	0.6742923469
557	0.67429012
558	0.6742868762
559	0.6742851069
560	0.6742809293
561	0.6742793872
562	0.6742771215
563	0.6742750536
564	0.674274037
565	0.6742701062
566	0.6742679924
567	0.6742656714
568	0.6742637798
569	0.6742587716
570	0.6742572068
571	0.6742503883
572	0.674249523
573	0.6742478332
574	0.6742462436
575	0.6742440164
576	0.6742405632
577	0.6742386828
578	0.6742378612
579	0.6742362283
580	0.6742342132
581	0.6742321656
582	0.6742312629
583	0.6742281584
584	0.6742260345
585	0.6742255236
586	0.6742245979
587	0.6742184463
588	0.6742164486
589	0.6742138777
590	0.6742125529
591	0.6742106121
592	0.674209931
593	0.674206778
594	0.6742039327
595	0.6742009707
596	0.6741961088
597	0.674195263
598	0.6741934121
599	0.6741928019
600	0.6741895212
601	0.6741882862
602	0.6741875775
603	0.6741868278
604	0.6741849336
605	0.674183155
606	0.6741807151
607	0.6741792325
608	0.6741759935
609	0.6741756948
610	0.6741732012
611	0.6741728406
612	0.6741717126
613	0.6741664125
614	0.6741643125
615	0.6741634882
616	0.6741621188
617	0.6741605307
618	0.6741583082
619	0.6741576918
620	0.674157531
621	0.6741547117
622	0.6741521869
623	0.6741513753
624	0.6741501594
625	0.6741474293
626	0.6741454277
627	0.6741443572
628	0.6741431274
629	0.6741427306
630	0.6741416226
631	0.6741405014
632	0.6741386476
633	0.6741377486
634	0.6741361534
635	0.674133745
636	0.6741325301
637	0.6741281707
638	0.6741265808
639	0.6741257065
640	0.6741245582
641	0.6741216061
642	0.6741192547
643	0.6741184679
644	0.6741173685
645	0.6741157364
646	0.6741149142
647	0.6741142865
648	0.6741107152
649	0.6741102007
650	0.6741096933
651	0.6741071442
652	0.6741059039
653	0.6741047735
654	0.6741039301
655	0.6741024418
656	0.6741017427
657	0.6741008065
658	0.6741000632
659	0.674099337
660	0.6740991648
661	0.6740983972
662	0.6740954936
663	0.6740927764
664	0.6740918542
665	0.6740912287
666	0.6740903113
667	0.6740881822
668	0.6740880262
669	0.6740867786
670	0.6740867556
671	0.6740820948
672	0.6740815133
673	0.674081207
674	0.674079674
675	0.6740791727
676	0.6740788099
677	0.6740785202
678	0.6740778549
679	0.6740775222
680	0.6740767503
681	0.6740761879
682	0.6740752697
683	0.674074765
684	0.6740741813
685	0.6740732606
686	0.6740729866
687	0.6740724097
688	0.6740721135
689	0.6740707314
690	0.6740705894
691	0.6740700522
692	0.6740691046
693	0.6740684726
694	0.6740682184
695	0.674067784
696	0.6740661418
697	0.674065439
698	0.6740651836
699	0.6740608811
700	0.6740607972
701	0.6740603218
702	0.6740596343
703	0.6740576836
704	0.6740570347
705	0.6740559741
706	0.6740551865
707	0.6740543304
708	0.6740538503
709	0.6740528957
710	0.6740517713
711	0.6740511647
712	0.6740510513
713	0.6740502461
714	0.6740462122
715	0.674044629
716	0.6740442289
717	0.6740424752
718	0.6740421444
719	0.6740405845
720	0.6740398729
721	0.6740395864
722	0.6740388834
723	0.6740384022
724	0.6740381551
725	0.6740359282
726	0.6740349306
727	0.6740329151
728	0.6740292969
729	0.6740284496
730	0.6740281707
731	0.6740275075
732	0.6740264447
733	0.6740263009
734	0.6740262151
735	0.67402608
736	0.674025761
737	0.674025348
738	0.6740241838
739	0.6740241106
740	0.6740236992
741	0.6740229527
742	0.6740196274
743	0.6740194889
744	0.6740186588
745	0.674018579
746	0.6740178674
747	0.6740173089
748	0.6740160735
749	0.6740157062
750	0.6740148081
751	0.6740145095
752	0.6740141845
753	0.6740139452
754	0.6740132828
755	0.6740130496
756	0.6740124531
757	0.6740118862
758	0.6740111185
759	0.6740104027
760	0.6740098716
761	0.6740094804
762	0.6740085364
763	0.674008391
764	0.6740079486
765	0.6740077467
766	0.6740071788
767	0.6740060579
768	0.6740053921
769	0.674004409
770	0.674003922
771	0.6740035842
772	0.6740031552
773	0.6740031547
774	0.6740019556
775	0.6740013223
776	0.6740012053
777	0.6740008299
778	0.6740005901
779	0.6740000574
780	0.6739999673
781	0.6739984155
782	0.6739979866
783	0.6739973636
784	0.6739971202
785	0.6739966079
786	0.6739961444
787	0.6739958951
788	0.6739950839
789	0.6739949817
790	0.6739943662
791	0.6739938513
792	0.6739934262
793	0.673993194
794	0.6739926776
795	0.6739919183
796	0.6739911807
797	0.6739911382
798	0.6739908858
799	0.6739905828
800	0.6739902963
801	0.6739900791
802	0.6739899574
803	0.6739893331
804	0.6739890166
805	0.6739888102
806	0.6739883123
807	0.673988267
808	0.673987863
809	0.6739877268
810	0.6739874982
811	0.6739863835
812	0.6739858785
813	0.6739858013
814	0.6739851716
815	0.6739846456
816	0.6739838157
817	0.6739836975
818	0.6739831505
819	0.6739830153
820	0.6739827194
821	0.6739821136
822	0.6739807263
823	0.6739803436
824	0.673980085
825	0.6739798943
826	0.673979167
827	0.6739778071
828	0.6739776624
829	0.6739774753
830	0.6739767892
831	0.6739766616
832	0.673976491
833	0.6739761139
834	0.6739758365
835	0.6739756546
836	0.6739756202
837	0.6739753874
838	0.6739743946
839	0.6739743109
840	0.673974232
841	0.6739741802
842	0.6739718547
843	0.6739715824
844	0.6739713266
845	0.6739711981
846	0.6739709752
847	0.6739705467
848	0.6739679572
849	0.6739674972
850	0.6739674445
851	0.6739664757
852	0.673966051
853	0.6739653024
854	0.6739651618
855	0.6739643622
856	0.6739640466
857	0.6739636559
858	0.673963375
859	0.673963178
860	0.6739630937
861	0.6739609694
862	0.6739608554
863	0.6739605561
864	0.6739605237
865	0.673960111
866	0.6739600177
867	0.6739598172
868	0.6739592736
869	0.6739588179
870	0.6739579448
871	0.6739573965
872	0.6739573789
873	0.6739572606
874	0.673956911
875	0.6739568753
876	0.6739567316
877	0.6739550991
878	0.6739548788
879	0.6739543709
880	0.673954112
881	0.6739536555
882	0.6739535221
883	0.6739526957
884	0.6739525939
885	0.6739525161
886	0.6739524238
887	0.6739522475
888	0.6739519621
889	0.6739510705
890	0.6739509961
891	0.6739509254
892	0.6739505511
893	0.6739504891
894	0.6739501645
895	0.6739498911
896	0.6739496224
897	0.6739491558
898	0.6739490214
899	0.6739487537
900	0.6739487352
901	0.6739487176
902	0.6739484061
903	0.6739483501
904	0.6739483333
905	0.6739481499
906	0.6739480239
907	0.6739467022
908	0.6739463551
909	0.6739463026
910	0.6739456213
911	0.6739456074
912	0.6739456049
913	0.6739455727
914	0.6739453896
915	0.6739449646
916	0.6739448172
917	0.6739446934
918	0.6739443938
919	0.6739441696
920	0.6739439988
921	0.6739437039
922	0.6739434011
923	0.6739429392
924	0.6739428821
925	0.6739424963
926	0.6739419994
927	0.6739419981
928	0.673941813
929	0.6739416291
930	0.6739403486
931	0.6739402966
932	0.6739402177
933	0.6739399589
934	0.6739399152
935	0.673939638
936	0.6739394093
937	0.6739393189
938	0.6739392781
939	0.6739389843
940	0.6739388282
941	0.6739385548
942	0.673938386
943	0.6739383619
944	0.673938143
945	0.6739380867
946	0.673937951
947	0.6739376764
948	0.6739368597
949	0.6739365969
950	0.6739365725
951	0.6739363411
952	0.6739360612
953	0.6739359285
954	0.67393572
955	0.6739354323
956	0.6739351253
957	0.6739344319
958	0.6739340878
959	0.6739340667
960	0.6739340657
961	0.6739339341
962	0.6739338567
963	0.6739336938
964	0.6739336072
965	0.6739334477
966	0.6739334285
967	0.6739331949
968	0.6739327819
969	0.6739326391
970	0.6739325234
971	0.6739324096
972	0.6739323231
973	0.673932229
974	0.6739319821
975	0.6739313523
976	0.673929639
977	0.6739296137
978	0.67392959
979	0.6739292884
980	0.6739286083
981	0.67392837
982	0.673928358
983	0.673928203
984	0.6739279492
985	0.673927679
986	0.673927627
987	0.6739275098
988	0.6739273261
989	0.6739272569
990	0.6739271686
991	0.6739270547
992	0.6739267913
993	0.6739266515
994	0.67392656
995	0.673926306
996	0.6739260733
997	0.673925858
998	0.6739258387
999	0.6739257485
